"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_gama2" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "MLE_C_gama2" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_gama2" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "SMLE_C_gama2" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_gama2" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1" "MDPDE_C_gama2"
-2.53098459635525 -2.50058936798701 4.28673576024746 1.77404548217443 -3.05872972021567 -0.353761583087565 5.90999337033912 -4.24475031676847 -2.53098459635525 -2.50058936798701 4.28673576024746 1.77404548217443 -2.50816061164102 -2.55042249849675 4.30528963756923 1.73902505398575 -2.53098459635525 -2.50058936798701 4.28673576024746 1.77404548217443 -2.51264467896359 -2.53907983936767 4.3199861577956 1.70198870242416
-2.44948613875522 -2.60587549625515 4.24821330069469 1.82300372643802 -2.96825744314524 -0.48571098907082 5.98807735409761 -4.37668415153806 -2.44948613875522 -2.60587549625515 4.24821330069469 1.82300372643802 -2.45526011549902 -2.59244407567472 4.28122424966837 1.74486626918779 -2.44948613875522 -2.60587549625515 4.24821330069469 1.82300372643802 -2.45860791870464 -2.58316578533059 4.29363024877021 1.71356011516023
-2.45401448406346 -2.6039662959998 4.46422998645955 1.42483425091416 -2.98737021099427 -0.408905292710573 5.86819905886872 -4.24893220683757 -2.45401448406346 -2.6039662959998 4.46422998645955 1.42483425091416 -2.45264486984363 -2.60745699376306 4.54772053306754 1.20031070121289 -2.45401448406346 -2.6039662959998 4.46422998645955 1.42483425091416 -2.45593157195292 -2.5981298833765 4.55695344005131 1.17625465449353
-2.5214579889848 -2.38993148596919 4.70750337789756 1.03955710204252 -2.96288677526904 -0.528251136099772 6.18452251519535 -4.51493660322097 -2.5214579889848 -2.38993148596919 4.70750337789756 1.03955710204252 -2.53170286620834 -2.36031871511238 4.71065325188799 1.03474583743948 -2.5214579889848 -2.38993148596919 4.70750337789756 1.03955710204252 -2.53462586199045 -2.35179681958829 4.72081444935207 1.00756092229039
-2.54609888804252 -2.3604522052811 4.25257138657438 1.65154171662647 -3.05687917789417 -0.252229671636676 5.69961606747484 -4.02137721620238 -2.54609888804252 -2.3604522052811 4.25257138657438 1.65154171662647 -2.54174817489653 -2.37522078351651 4.1647291004567 1.89625103886914 -2.54609888804252 -2.3604522052811 4.25257138657438 1.65154171662647 -2.54483235254718 -2.36684236779919 4.17540692887457 1.86785793723594
-2.53240131183841 -2.39511097112363 4.59214697569546 1.35680464081789 -3.03066133851762 -0.377188291107459 6.19026932887247 -4.54794061653271 -2.53240131183841 -2.39511097112363 4.59214697569546 1.35680464081789 -2.56566545796902 -2.29585073135079 4.57103931915233 1.39741196030598 -2.53240131183841 -2.39511097112363 4.59214697569546 1.35680464081789 -2.56716716127436 -2.28989026091494 4.57612213488001 1.37922633323226
-2.48621094563287 -2.49091619383841 4.64503016556739 1.24223775492861 -2.91850034843576 -0.594033248354452 6.0008092684847 -4.30626907382955 -2.48621094563287 -2.49091619383841 4.64503016556739 1.24223775492861 -2.48958289398346 -2.48978988066813 4.67589558284244 1.15186707174526 -2.48621094563287 -2.49091619383841 4.64503016556739 1.24223775492861 -2.49167249483555 -2.48296421249566 4.68410606994823 1.12974185823093
-2.48635657118024 -2.40323029902718 4.31951712360741 1.69695789978107 -2.95913142075093 -0.391120168631379 5.7486322023513 -4.07705799516325 -2.48635657118024 -2.40323029902718 4.31951712360741 1.69695789978107 -2.45149767662009 -2.49151592936777 4.24471647393913 1.86278751024275 -2.48635657118024 -2.40323029902718 4.31951712360741 1.69695789978107 -2.45486915870951 -2.48282848166202 4.25681366916206 1.83328162332901
-2.43753594714667 -2.71612905739673 4.66808871520266 1.45346789965284 -2.85447174838661 -0.793847603253179 6.0098093657958 -4.31977903416674 -2.43753594714667 -2.71612905739673 4.66808871520266 1.45346789965284 -2.41955999731357 -2.77552073409519 4.69373336816578 1.41420642713075 -2.43753594714667 -2.71612905739673 4.66808871520266 1.45346789965284 -2.42040561353256 -2.77205472671197 4.69851872168859 1.39971035810338
-2.42094463486869 -2.52954422064038 4.22687011107954 1.79105636340884 -2.94445831790684 -0.377082337991136 5.68232084875289 -4.02574412563859 -2.42094463486869 -2.52954422064038 4.22687011107954 1.79105636340884 -2.41976458663966 -2.53212155807987 4.18856757967748 1.89642037368514 -2.42094463486869 -2.52954422064038 4.22687011107954 1.79105636340884 -2.42277084119549 -2.52400453752388 4.19866325752744 1.86959302489606
