"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1"
-1.88728568398867 -1.9035713164648 4.49579445712478 -1.89938431694439 -0.676513409285494 2.45596512427616 -1.88728568398867 -1.9035713164648 4.49579445712478 -1.89880772105583 -1.82406538867562 4.40137161625341 -1.88728568398867 -1.9035713164648 4.49579445712478 -1.90012021352376 -1.80992129692998 4.36972552620399
-1.78289068968875 -1.84762430260016 4.76968365705417 -1.85751212092908 -0.663203606382112 2.64467306419056 -1.78289068968875 -1.84762430260016 4.76968365705417 -1.7965789696305 -1.7688804650483 4.75989423753827 -1.78289068968875 -1.84762430260016 4.76968365705417 -1.79754919665524 -1.76394058966456 4.74192421220998
-1.98079437891619 -1.898268593782 4.88906857516189 -1.9596755295948 -0.78966570770321 2.59941996003752 -1.98079437891619 -1.898268593782 4.88906857516189 -1.96318899432913 -1.97106221526309 4.844771258386 -1.98079437891619 -1.898268593782 4.88906857516189 -1.96415036080913 -1.96289121618677 4.82965666372385
-1.92095892448101 -1.72565248974742 4.21315821116242 -1.95828883327846 -0.703762591290668 2.66789009551689 -1.92095892448101 -1.72565248974742 4.21315821116242 -1.91611367409945 -1.73879504869825 4.11114911623628 -1.92095892448101 -1.72565248974742 4.21315821116242 -1.91927788629769 -1.72430233127223 4.10453074587079
-1.61360210014327 -2.15253206814143 4.08369966435011 -1.66086439308977 -1.18646577888438 2.66615543928088 -1.61360210014327 -2.15253206814143 4.08369966435011 -1.59266380379998 -2.10399129753068 3.95339835105571 -1.61360210014327 -2.15253206814143 4.08369966435011 -1.59439295160657 -2.09514742009882 3.95527906646969
-1.81761334536042 -2.1094157223689 4.38058069237334 -1.85793477266581 -0.991481209736928 2.65910802093319 -1.81761334536042 -2.1094157223689 4.38058069237334 -1.85229016152776 -2.0118898395238 4.31208684625461 -1.81761334536042 -2.1094157223689 4.38058069237334 -1.85726036037796 -2.00281463868666 4.32581960188742
-1.75104640442268 -2.13455102901719 4.46543766347953 -1.80190295653703 -1.00963552291447 2.692479895841 -1.75104640442268 -2.13455102901719 4.46543766347953 -1.75603956301194 -2.05944557118229 4.3954540403072 -1.75104640442268 -2.13455102901719 4.46543766347953 -1.75949497799126 -2.03748719137734 4.35832087667848
-1.79603977339941 -2.06046081087992 4.30106751055959 -1.78862058583493 -1.09596566240689 2.61004427694852 -1.79603977339941 -2.06046081087992 4.30106751055959 -1.77038638395274 -2.09918495085347 4.14135053073299 -1.79603977339941 -2.06046081087992 4.30106751055959 -1.77162102961769 -2.09787266020087 4.15691696321583
-1.83424848486968 -2.01982076502419 4.3439427687951 -1.88395318560088 -0.975174516142912 2.75373049047446 -1.83424848486968 -2.01982076502419 4.3439427687951 -1.83894189467287 -1.95787979426473 4.2029848027793 -1.83424848486968 -2.01982076502419 4.3439427687951 -1.84171980304048 -1.92945372935063 4.15605704602974
-1.68537463276865 -2.00439394404355 4.14463618257505 -1.75829059254485 -1.04972807027191 2.77523741419095 -1.68537463276865 -2.00439394404355 4.14463618257505 -1.68088191921816 -1.96770082923957 3.98666770583309 -1.68537463276865 -2.00439394404355 4.14463618257505 -1.6847054977525 -1.95165726744428 3.98354193538709
-1.87212056400128 -1.96448140983687 4.24405208588436 -1.87447014460492 -0.9780557399126 2.60219201106204 -1.87212056400128 -1.96448140983687 4.24405208588436 -1.83712678598312 -2.06985633826883 4.18018719146805 -1.87212056400128 -1.96448140983687 4.24405208588436 -1.840313459249 -2.06084540729478 4.19458596555554
-1.77944176139353 -2.05409287539533 4.62367026649942 -1.81154378666977 -0.948723915429044 2.64316651308735 -1.77944176139353 -2.05409287539533 4.62367026649942 -1.78295349265945 -2.02845860909279 4.51007979278931 -1.77944176139353 -2.05409287539533 4.62367026649942 -1.78467905128386 -2.03037548457058 4.53368459531568
-1.80991419051225 -2.07017007749814 4.54401292391954 -1.87968180142511 -0.957119164341339 2.77685838047078 -1.80991419051225 -2.07017007749814 4.54401292391954 -1.78734140423321 -2.09172230383208 4.6591152764178 -1.80991419051225 -2.07017007749814 4.54401292391954 -1.79282501204506 -2.07154758916425 4.61847629374308
-1.74177172593597 -2.21066432902353 4.62554721810548 -1.75505700418946 -1.12801928303543 2.60000981612634 -1.74177172593597 -2.21066432902353 4.62554721810548 -1.71607909989199 -2.31175910339308 4.59857517727127 -1.74177172593597 -2.21066432902353 4.62554721810548 -1.71695628808815 -2.30173825932028 4.57214973604241
-1.83706449560813 -1.75051539326961 4.24855811260173 -1.8893914432787 -0.716980349792289 2.65917093437879 -1.83706449560813 -1.75051539326961 4.24855811260173 -1.8611859248844 -1.67370132116505 4.2010809497294 -1.83706449560813 -1.75051539326961 4.24855811260173 -1.86042772758538 -1.65649287911405 4.15403323276871
-1.91914822093546 -1.85014599239414 4.18819909796304 -1.92351265702517 -0.701403098825417 2.41151712457604 -1.91914822093546 -1.85014599239414 4.18819909796304 -1.87283869817417 -2.01090240969176 4.23197922959854 -1.91914822093546 -1.85014599239414 4.18819909796304 -1.87759024127943 -1.98623301631197 4.20200223344921
-1.70622020099923 -2.01448032735965 4.61782373158079 -1.73925932023494 -0.865479088050151 2.54471897345783 -1.70622020099923 -2.01448032735965 4.61782373158079 -1.72731089876988 -1.92193970916737 4.57003215654562 -1.70622020099923 -2.01448032735965 4.61782373158079 -1.72773328797219 -1.91376427633153 4.54830578685122
-1.92676704391658 -1.73217056884606 4.63025385087032 -1.94889182483258 -0.685461189959103 2.70549891224006 -1.92676704391658 -1.73217056884606 4.63025385087032 -1.91979935006854 -1.72473701598915 4.72995549422997 -1.92676704391658 -1.73217056884606 4.63025385087032 -1.92311218137177 -1.71246768281766 4.70481323875567
-1.6270148341267 -2.40400148443761 4.5704397981793 -1.65768392108741 -1.19394155902757 2.48626735893661 -1.6270148341267 -2.40400148443761 4.5704397981793 -1.61390994006447 -2.46676597595746 4.50035350594122 -1.6270148341267 -2.40400148443761 4.5704397981793 -1.61486341918409 -2.45344176531785 4.4738719606348
